AreaSQFT,BuildingType,Trade,Complexity,Days
53830,Transport,Domestic water,1,3.09
54000,Hotel,Mech. Duct,1,7.86
17500,College / University,Lighting,1,1.40
44000,School,AV /Wireless,1,1.12
145850,School,Sanitary & Storm,1,12.36
138309,Healthcare,AV /Wireless,1,2.53
88059,School,Mech. Pipe,1,5.62
172000,Hotel,Power,1,7.86
57374,School,Fire Alarm,1,0.84
105451,School,Sanitary & Storm,1,10.11
701572,Warehouse / Supermarket,Sanitary & Storm,1,6.74
49000,Government,Lighting,1,2.25
49000,Government,Telecomm,1,1.97
45000,College / University,Mech. Pipe,1,3.93
7299,School,Domestic water,1,2.81
17500,School,Lighting,1,1.68
17500,School,Power,1,3.93
321139,Warehouse / Supermarket,Power,1,3.93
184374,College / University,Telecomm,1,3.37
18066,Office Building,Power,1,4.77
37790,Industrial,Telecomm,1,1.68
36000,Hotel,Sanitary & Storm,1,8.99
24442,Residential,Lighting,1,3.65
225647,School,Fire Alarm,1,2.81
30181,School,Telecomm,1,2.25
36000,Residential,Domestic water,1,6.80
36000,Residential,Domestic water,1,6.80
36000,Residential,Power,1,7.02
40000,Office Building,Domestic water,1,3.93
222000,Parking,Telecomm,1,2.13
86300,Hotel,Sanitary & Storm,1,10.11
86300,Hotel,Domestic water,1,8.14
110982,School,Power,1,6.74
18650,Healthcare,Power,1,6.18
18650,Healthcare,Telecomm,1,1.12
99000,School,Domestic water,1,6.74
20500,Other Commercial,Lighting,1,1.97
36063,Other Commercial,Sanitary & Storm,1,5.17
175000,Industrial,Sanitary & Storm,1,17.13
38000,Residential,Sanitary & Storm,1,10.11
52186,Office Building,Telecomm,1,2.81
13000,Industrial,Fire Alarm,1,0.70
26661,Warehouse / Supermarket,Fire Alarm,1,0.84
24000,Office Building,Power,1,4.72
132000,School,Lighting,1,4.77
79340,Healthcare,Domestic water,1,7.30
77905,Healthcare,Fire Alarm,1,1.12
18700,Warehouse / Supermarket,Mech. Duct,1,5.62
186000,Residential,AV /Wireless,1,2.13
131794,Government,Lighting,1,5.62
131794,Government,AV /Wireless,1,1.68
131794,Government,Lighting,1,5.62
131794,Government,AV /Wireless,1,1.68
131794,Government,Lighting,1,5.62
131794,Government,AV /Wireless,1,1.68
131794,Government,Lighting,1,5.62
131794,Government,AV /Wireless,1,1.68
33000,School,Mech. Duct,1,7.30
20000,Residential,Domestic water,1,6.18
61800,Other Commercial,Telecomm,1,2.53
66500,Hotel,Mech. Pipe,1,5.05
895000,Parking,Power,1,7.30
242089,Residential,Domestic water,1,12.92
181000,Healthcare,Sanitary & Storm,1,25.27
85834,School,Fire Alarm,1,1.12
100000,Transport,Sanitary & Storm,1,6.46
13761,Government,Mech. Duct,1,4.49
13761,Government,Mech. Pipe,1,2.25
87250,Residential,Power,1,7.86
40000,Office Building,Power,1,5.05
41165,Warehouse / Supermarket,Fire Alarm,1,0.84
42000,Other Commercial,Sanitary & Storm,1.5,5.82
42000,Other Commercial,Domestic water,1.5,4.02
27619,College / University,Domestic water,1.5,2.22
168292,School,Sanitary & Storm,1.5,15.52
114000,School,Sanitary & Storm,1.5,11.09
105000,Military,Mech. Duct,1.5,13.86
77985,College / University,Fire Alarm,1.5,1.11
64500,Office Building,Domestic water,1.5,4.44
120000,Healthcare,Mech. Duct,1.5,19.96
280000,Warehouse / Supermarket,Sanitary & Storm,1.5,5.54
106974,School,Telecomm,1.5,3.33
145850,School,Lighting,1.5,5.54
45000,School,Telecomm,1.5,2.55
66980,College / University,Domestic water,1.5,4.71
1344292,Residential,Power,1.5,32.16
44500,School,Power,1.5,4.99
73370,College / University,Domestic water,1.5,4.99
701572,Warehouse / Supermarket,Mech. Pipe,1.5,4.44
65711,School,Power,1.5,5.82
53767,Office Building,AV /Wireless,1.5,1.11
125000,Parking,Lighting,1.5,3.33
31400,Industrial,Telecomm,1.5,1.66
40000,College / University,AV /Wireless,1.5,0.55
100000,School,Domestic water,1.5,7.21
100000,School,Lighting,1.5,3.99
321139,Warehouse / Supermarket,Lighting,1.5,1.66
148810,Warehouse / Supermarket,Power,1.5,3.88
245212,Warehouse / Supermarket,Power,1.5,3.88
80000,School,Mech. Duct,1.5,11.03
264085,Residential,Power,1.5,11.48
33000,College / University,Mech. Duct,1.5,4.99
33000,College / University,Fire Alarm,1.5,0.55
26554,School,Power,1.5,4.44
25000,College / University,Lighting,1.5,1.55
36000,Residential,Sanitary & Storm,1.5,11.09
36000,Residential,Power,1.5,7.48
36000,Residential,Sanitary & Storm,1.5,11.09
40000,Office Building,Telecomm,1.5,2.77
20500,Other Commercial,Sanitary & Storm,1.5,4.44
20679,Industrial,Mech. Duct,1.5,8.87
36063,Other Commercial,Domestic water,1.5,3.66
84978,School,Power,1.5,6.49
213321,Residential,Fire Alarm,1.5,2.49
8248,Government,Sanitary & Storm,1.5,4.71
38000,Residential,Lighting,1.5,4.16
41000,College / University,Telecomm,1.5,1.94
36699,School,Mech. Pipe,1.5,3.33
16900,Other Commercial,Mech. Pipe,1.5,3.88
23479,Residential,Lighting,1.5,3.88
100000,Healthcare,Mech. Duct,1.5,15.80
308000,School,Fire Alarm,1.5,3.88
16000,College / University,Lighting,1.5,1.39
222078,Government,Power,1.5,16.08
64200,College / University,Mech. Pipe,1.5,5.54
64200,College / University,Telecomm,1.5,2.22
20000,Residential,Telecomm,1.5,3.88
16700,Warehouse / Supermarket,Power,1.5,3.88
66500,Hotel,Domestic water,1.5,8.26
242089,Residential,Mech. Duct,1.5,16.08
85834,School,Mech. Duct,1.5,11.64
85834,School,Sanitary & Storm,1.5,8.87
14000,Office Building,Mech. Pipe,1.5,3.88
14000,Office Building,Lighting,1.5,3.33
17800,Government,Sanitary & Storm,1.5,4.99
17800,Government,Domestic water,1.5,3.33
87410,School,Mech. Duct,1.5,11.37
45000,College / University,Mech. Duct,1.5,6.65
40000,Office Building,Lighting,1.5,3.33
104168,School,Domestic water,1.5,7.21
18300,Office Building,Domestic water,1.5,4.16
18300,Office Building,Telecomm,1.5,2.77
121000,School,Power,1.5,7.21
168292,School,Domestic water,2,10.54
26110,School,Sanitary & Storm,2,4.93
26110,School,Lighting,2,2.19
114000,School,Domestic water,2,8.21
13900,School,Power,2,4.38
62000,Other Educational,Power,2,3.83
178000,School,Fire Alarm,2,2.46
105000,Military,Domestic water,2,8.21
120000,Healthcare,Sanitary & Storm,2,18.61
120000,Healthcare,Medical Gas,2,4.38
33768,Industrial,Domestic water,2,3.28
106974,School,AV /Wireless,2,1.64
103783,School,Mech. Duct,2,13.68
103783,School,Sanitary & Storm,2,11.17
103783,School,Telecomm,2,3.50
45000,School,AV /Wireless,2,1.31
65000,Military,Mech. Duct,2,8.76
76545,School,Domestic water,2,6.57
178000,Healthcare,Mech. Duct,2,31.20
45000,College / University,Power,2,5.47
246096,School,Fire Alarm,2,3.28
78500,School,Mech. Duct,2,11.22
321139,Warehouse / Supermarket,Fire Alarm,2,1.09
12500,Government,Mech. Pipe,2,2.46
9500,College / University,Lighting,2,1.37
125415,Government,Sanitary & Storm,2,8.76
45213,College / University,Mech. Pipe,2,4.38
44840,College / University,Power,2,5.47
33000,College / University,Domestic water,2,2.74
33000,College / University,Lighting,2,1.75
26554,School,Lighting,2,2.19
36000,Government,Power,2,4.10
345000,Healthcare,Telecomm,2,12.31
722000,Residential,Lighting,2,12.86
24442,Residential,Mech. Duct,2,9.85
10886,Other Commercial,Power,2,3.83
25000,College / University,Mech. Duct,2,4.10
401870,Residential,Lighting,2,9.03
95000,Industrial,Mech. Pipe,2,12.04
15552,Healthcare,Lighting,2,3.01
40000,Office Building,Mech. Duct,2,7.66
222000,Parking,Lighting,2,3.83
12490,Other Educational,Lighting,2,1.64
110982,School,Sanitary & Storm,2,11.49
110982,School,Fire Alarm,2,1.64
376197,Industrial,Mech. Duct,2,41.87
108152,School,Fire Alarm,2,1.64
108152,School,AV /Wireless,2,1.64
20500,Other Commercial,Domestic water,2,3.28
84978,School,Lighting,2,3.83
175000,Industrial,Power,2,17.51
100000,School,Telecomm,2,3.28
284000,Office Building,AV /Wireless,2,1.09
28500,Industrial,Mech. Pipe,2,10.40
290000,Residential,Lighting,2,7.66
18000,Office Building,Sanitary & Storm,2,6.02
41000,College / University,Lighting,2,1.92
24000,Office Building,Telecomm,2,2.96
215000,Government,Lighting,2,9.85
158000,School,Power,2,8.89
7049,Residential,Domestic water,2,6.57
79340,Healthcare,Power,2,7.88
39600,Warehouse / Supermarket,Mech. Pipe,2,4.38
39600,Warehouse / Supermarket,Domestic water,2,3.83
56900,Hotel,Lighting,2,4.38
60000,Warehouse / Supermarket,Lighting,2,1.64
77905,Healthcare,Telecomm,2,3.28
18700,Warehouse / Supermarket,Lighting,2,1.64
70000,Residential,Lighting,2,4.82
283285,Residential,Mech. Duct,2,19.16
283285,Residential,Mech. Pipe,2,11.49
283285,Residential,Domestic water,2,15.32
283285,Residential,Power,2,12.86
131794,Government,Power,2,10.95
65000,Government,Lighting,2,3.28
131794,Government,Power,2,10.95
131794,Government,Power,2,10.95
131794,Government,Power,2,10.95
104094,School,Mech. Pipe,2,6.84
159906,Other Commercial,Domestic water,2,8.76
159906,Other Commercial,Power,2,9.85
32000,Government,Mech. Pipe,2,3.28
18284,Office Building,Domestic water,2,4.38
16700,Warehouse / Supermarket,Mech. Pipe,2,4.38
634000,Residential,Mech. Duct,2,30.65
242089,Residential,Sanitary & Storm,2,18.61
242089,Residential,Lighting,2,7.12
242089,Residential,Power,2,12.04
182000,College / University,Mech. Pipe,2,15.87
181000,Healthcare,Mech. Duct,2,30.65
85834,School,Power,2,6.57
22174,School,Mech. Duct,2,7.66
28700,Warehouse / Supermarket,Mech. Pipe,2,4.38
28700,Warehouse / Supermarket,Sanitary & Storm,2,4.93
245000,School,Fire Alarm,2,3.28
87250,Residential,Mech. Duct,2,12.04
45000,College / University,Mech. Pipe,2,4.38
104168,School,Sanitary & Storm,2,10.67
85000,Military,Telecomm,2,4.38
179833,Government,Lighting,2,8.48
60827,School,Sanitary & Storm,2,7.66
69650,Healthcare,Domestic water,2,7.12
8000,Other Educational,Power,2,3.83
26110,School,Mech. Pipe,2.5,3.24
26110,School,Domestic water,2.5,4.32
75000,Hotel,Power,2.5,5.94
105000,Military,Mech. Pipe,2.5,6.75
105000,Military,Telecomm,2.5,5.40
77985,College / University,Mech. Duct,2.5,12.43
25000,College / University,Medical Gas,2.5,2.16
161368,Industrial,Sanitary & Storm,2.5,17.83
161368,Industrial,Sanitary & Storm,2.5,17.83
25000,School,Lighting,2.5,2.16
40000,Healthcare,Lighting,2.5,3.51
23900,Healthcare,Lighting,2.5,3.24
23900,Healthcare,Power,2.5,7.56
88059,School,Domestic water,2.5,7.56
172000,Hotel,Lighting,2.5,6.48
57374,School,Lighting,2.5,3.24
57374,School,Power,2.5,6.21
68500,School,Telecomm,2.5,3.24
95425,School,Power,2.5,7.56
265000,Parking,Power,2.5,7.83
66792,Residential,Power,2.5,8.64
65711,School,Fire Alarm,2.5,1.08
53767,Office Building,Power,2.5,5.94
125000,Parking,Fire Alarm,2.5,0.81
276000,Office Building,Lighting,2.5,5.40
